day,campaign_name,campaign_id,adset_name,adset_id,ad_name,ad_id,account_currency,spend,impressions,reach,frequency,link_clicks,qualified_traffic,adds_to_wishlist,purchase_post_paid,3_second_video_plays,video_p25_watched_actions,video_p50_watched_actions,video_p75_watched_actions,video_p100_watched_actions,attribution_setting,description,headline,website_url,call_to_action_type,image_name,video_name,url_parameters,objective,age,gender
2021-03-30,SoU_Der Sportlover_[Tisi-Schubech]-[Wishlist]-[IG],23847124709920319,[M_U29]_[Männer]_[Generisch]_[Gesamt]_[U29]_[IG-Feed],23847124710280319,sequence-1_video_square_52s_variante_1,23847124709440319,EUR,40.44,4938,4938,1,25,28,6,,1193,270,138,90,45,1d_view_7d_click,"Schnappt euch sofort das Angebot von o2 solange es noch verfügbar ist, damit habt ihr direkt die Auswahl zwischen den besten Filmen und Serien EVER!",Entdecke jetzt die besten Filme & Serien,https://www.o2online.de/e-shop/tarif/o2-free-unlimited-smart-junge-leute?zielgruppe=studenten&partnerId=O2_SOC_PO3_INT_111019&utm_source=Instagram&utm_medium=mf_influencer-performance&utm_content=O2_SOC_PO3_INT_111019&utm_term=qtraffic_SoU&utm_campaign=TiSch_0-na_SpoLo_Video_paid_all_20210322,LEARN_MORE,untitled,Sequence 1 (7).mp4,,CONVERSIONS,18-24,male
2021-03-30,SoU_Der Sportlover_[Tisi-Schubech]-[Wishlist]-[IG],23847124709920319,[M_U29]_[Männer]_[Generisch]_[Gesamt]_[U29]_[IG-Feed],23847124710280319,sequence-1_video_square_52s_variante_1,23847124709440319,EUR,12.94,1304,1304,1,9,10,1,,290,63,33,21,10,1d_view_7d_click,"Schnappt euch sofort das Angebot von o2 solange es noch verfügbar ist, damit habt ihr direkt die Auswahl zwischen den besten Filmen und Serien EVER!",Entdecke jetzt die besten Filme & Serien,https://www.o2online.de/e-shop/tarif/o2-free-unlimited-smart-junge-leute?zielgruppe=studenten&partnerId=O2_SOC_PO3_INT_111019&utm_source=Instagram&utm_medium=mf_influencer-performance&utm_content=O2_SOC_PO3_INT_111019&utm_term=qtraffic_SoU&utm_campaign=TiSch_0-na_SpoLo_Video_paid_all_20210322,LEARN_MORE,untitled,Sequence 1 (7).mp4,,CONVERSIONS,25-34,male
2021-03-30,SoU_Der Sportlover_[Tisi-Schubech]-[Wishlist]-[IG],23847124709920319,[M_U29]_[Männer]_[Generisch]_[Gesamt]_[U29]_[IG-Feed],23847124710280319,story-2_video_square_14s_variante_1,23847124709450319,EUR,0.01,1,0,0,0,,,,,,,,,1d_view_7d_click,"Schnappt euch sofort das Angebot von o2 solange es noch verfügbar ist, damit habt ihr direkt die Auswahl zwischen den besten Filmen und Serien EVER!",Entdecke jetzt die besten Filme & Serien,https://www.o2online.de/e-shop/tarif/o2-free-unlimited-smart-junge-leute?zielgruppe=studenten&partnerId=O2_SOC_PO3_INT_111019&utm_source=Instagram&utm_medium=mf_influencer-performance&utm_content=O2_SOC_PO3_INT_111019&utm_term=qtraffic_SoU&utm_campaign=TiSch_0-na_SpoLo_Video_paid_all_20210322,LEARN_MORE,untitled,Story 2 (8).mp4,,CONVERSIONS,13-17,unknown
2021-03-30,SoU_Der Sportlover_[Tisi-Schubech]-[Wishlist]-[IG],23847124709920319,[M_U29]_[Männer]_[Generisch]_[Gesamt]_[U29]_[IG-Feed],23847124710280319,story-2_video_square_14s_variante_1,23847124709450319,EUR,46.41,4891,4802,1.018534,27,35,7,,1266,1056,465,276,202,1d_view_7d_click,"Schnappt euch sofort das Angebot von o2 solange es noch verfügbar ist, damit habt ihr direkt die Auswahl zwischen den besten Filmen und Serien EVER!",Entdecke jetzt die besten Filme & Serien,https://www.o2online.de/e-shop/tarif/o2-free-unlimited-smart-junge-leute?zielgruppe=studenten&partnerId=O2_SOC_PO3_INT_111019&utm_source=Instagram&utm_medium=mf_influencer-performance&utm_content=O2_SOC_PO3_INT_111019&utm_term=qtraffic_SoU&utm_campaign=TiSch_0-na_SpoLo_Video_paid_all_20210322,LEARN_MORE,untitled,Story 2 (8).mp4,,CONVERSIONS,18-24,male
2021-03-30,SoU_Der Sportlover_[Tisi-Schubech]-[Wishlist]-[IG],23847124709920319,[M_U29]_[Männer]_[Generisch]_[Gesamt]_[U29]_[IG-Feed],23847124710280319,story-2_video_square_14s_variante_1,23847124709450319,EUR,8.97,806,796,1.012563,5,5,2,,221,188,88,51,37,1d_view_7d_click,"Schnappt euch sofort das Angebot von o2 solange es noch verfügbar ist, damit habt ihr direkt die Auswahl zwischen den besten Filmen und Serien EVER!",Entdecke jetzt die besten Filme & Serien,https://www.o2online.de/e-shop/tarif/o2-free-unlimited-smart-junge-leute?zielgruppe=studenten&partnerId=O2_SOC_PO3_INT_111019&utm_source=Instagram&utm_medium=mf_influencer-performance&utm_content=O2_SOC_PO3_INT_111019&utm_term=qtraffic_SoU&utm_campaign=TiSch_0-na_SpoLo_Video_paid_all_20210322,LEARN_MORE,untitled,Story 2 (8).mp4,,CONVERSIONS,25-34,male
2021-03-30,SoU_Der Sportlover_[Tisi-Schubech]-[Wishlist]-[IG],23847124709920319,[M_U29]_[Männer]_[Generisch]_[Gesamt]_[U29]_[IG-Feed],23847124710280319,story-2_video_square_14s_variante_1,23847124709450319,EUR,0.02,4,4,1,0,,,,,,,,,1d_view_7d_click,"Schnappt euch sofort das Angebot von o2 solange es noch verfügbar ist, damit habt ihr direkt die Auswahl zwischen den besten Filmen und Serien EVER!",Entdecke jetzt die besten Filme & Serien,https://www.o2online.de/e-shop/tarif/o2-free-unlimited-smart-junge-leute?zielgruppe=studenten&partnerId=O2_SOC_PO3_INT_111019&utm_source=Instagram&utm_medium=mf_influencer-performance&utm_content=O2_SOC_PO3_INT_111019&utm_term=qtraffic_SoU&utm_campaign=TiSch_0-na_SpoLo_Video_paid_all_20210322,LEARN_MORE,untitled,Story 2 (8).mp4,,CONVERSIONS,Unknown,unknown
2021-03-30,SoU_Der Sportlover_[Tisi-Schubech]-[Wishlist]-[IG],23847124709920319,[044]_[Sport-Publisher-o2-TV-Kategorien]_[Motorsport]_[Gesamt]_[Ab29]_[IG-Feed],23847124710480319,sequence-1_video_square_52s_variante_1,23847124709550319,EUR,0.04,5,5,1,0,,,,1,,,,,1d_view_7d_click,"Schnappt euch sofort das Angebot von o2 solange es noch verfügbar ist, damit habt ihr direkt die Auswahl zwischen den besten Filmen und Serien EVER!",Entdecke jetzt die besten Filme & Serien,https://www.o2online.de/e-shop/tarif/o2-free-unlimited-smart?zielgruppe=privatkunden&partnerId=O2_SOC_PO3_INT_111019&utm_source=Instagram&utm_medium=mf_influencer-performance&utm_content=O2_SOC_PO3_INT_111019&utm_term=qtraffic_SoU&utm_campaign=TiSch_0-na_SpoLo_Video_paid_all_20210322,LEARN_MORE,untitled,Sequence 1 (7).mp4,,CONVERSIONS,25-34,male
2021-03-30,SoU_Der Sportlover_[Tisi-Schubech]-[Wishlist]-[IG],23847124709920319,[044]_[Sport-Publisher-o2-TV-Kategorien]_[Motorsport]_[Gesamt]_[Ab29]_[IG-Feed],23847124710480319,sequence-1_video_square_52s_variante_1,23847124709550319,EUR,0.06,1,1,1,0,,,,1,1,,,,1d_view_7d_click,"Schnappt euch sofort das Angebot von o2 solange es noch verfügbar ist, damit habt ihr direkt die Auswahl zwischen den besten Filmen und Serien EVER!",Entdecke jetzt die besten Filme & Serien,https://www.o2online.de/e-shop/tarif/o2-free-unlimited-smart?zielgruppe=privatkunden&partnerId=O2_SOC_PO3_INT_111019&utm_source=Instagram&utm_medium=mf_influencer-performance&utm_content=O2_SOC_PO3_INT_111019&utm_term=qtraffic_SoU&utm_campaign=TiSch_0-na_SpoLo_Video_paid_all_20210322,LEARN_MORE,untitled,Sequence 1 (7).mp4,,CONVERSIONS,35-44,male
2021-03-30,SoU_Der Sportlover_[Tisi-Schubech]-[Wishlist]-[IG],23847124709920319,[044]_[Sport-Publisher-o2-TV-Kategorien]_[Motorsport]_[Gesamt]_[Ab29]_[IG-Feed],23847124710480319,sequence-1_video_square_52s_variante_1,23847124709550319,EUR,0.02,1,1,1,0,,,,,,,,,1d_view_7d_click,"Schnappt euch sofort das Angebot von o2 solange es noch verfügbar ist, damit habt ihr direkt die Auswahl zwischen den besten Filmen und Serien EVER!",Entdecke jetzt die besten Filme & Serien,https://www.o2online.de/e-shop/tarif/o2-free-unlimited-smart?zielgruppe=privatkunden&partnerId=O2_SOC_PO3_INT_111019&utm_source=Instagram&utm_medium=mf_influencer-performance&utm_content=O2_SOC_PO3_INT_111019&utm_term=qtraffic_SoU&utm_campaign=TiSch_0-na_SpoLo_Video_paid_all_20210322,LEARN_MORE,untitled,Sequence 1 (7).mp4,,CONVERSIONS,45-54,male
2021-03-30,SoU_Der Sportlover_[Tisi-Schubech]-[Wishlist]-[IG],23847124709920319,[F_U29]_[Frauen]_[Generisch]_[Gesamt]_[U29]_[IG-Feed],23847124709880319,sequence-1_video_square_52s_variante_1,23847124709860319,EUR,7.13,581,581,1,1,2,1,,86,13,4,2,1,1d_view_7d_click,"Schnappt euch sofort das Angebot von o2 solange es noch verfügbar ist, damit habt ihr direkt die Auswahl zwischen den besten Filmen und Serien EVER!",Entdecke jetzt die besten Filme & Serien,https://www.o2online.de/e-shop/tarif/o2-free-unlimited-smart-junge-leute?zielgruppe=studenten&partnerId=O2_SOC_PO3_INT_111019&utm_source=Instagram&utm_medium=mf_influencer-performance&utm_content=O2_SOC_PO3_INT_111019&utm_term=qtraffic_SoU&utm_campaign=TiSch_0-na_SpoLo_Video_paid_all_20210322,LEARN_MORE,untitled,Sequence 1 (7).mp4,,CONVERSIONS,18-24,female
